  #Energy        TDOS
5.065377        38.181773
5.094377        38.305835
5.122377        38.417149
5.151377        38.520723
5.180377        38.623600
5.208377        38.721222
5.237377        38.820489
5.266377        38.919887
5.294377        39.018699
5.323377        39.123331
5.351377        39.220043
5.380377        39.317483
5.409377        39.410529
5.437377        39.492485
5.466377        39.574352
5.495377        39.654175
5.523377        39.729733
5.552377        39.806496
5.581377        39.881011
5.609377        39.949345
5.638377        40.016640
5.666377        40.079808
5.695377        40.143492
5.724377        40.205175
5.752377        40.262995
5.781377        40.321328
5.810377        40.378357
5.838377        40.432369
5.867377        40.487701
5.895377        40.540831
5.924377        40.594597
5.953377        40.647609
5.981377        40.699395
6.010377        40.753596
6.039377        40.806173
6.067377        40.854753
6.096377        40.900892
6.124377        40.939434
6.153377        40.975945
6.182377        41.011484
6.210377        41.045924
6.239377        41.082087
6.268377        41.120382
6.296377        41.160800
6.325377        41.206301
6.354377        41.255485
6.382377        41.306571
6.411377        41.363237
6.439377        41.421659
6.468377        41.486198
6.497377        41.555001
6.525377        41.626023
6.554377        41.725855
6.583377        41.856906
6.611377        41.994540
6.640377        42.143020
6.668377        42.287402
6.697377        42.435926
6.726377        42.585276
6.754377        42.732374
6.783377        42.888930
6.812377        43.049793
6.840377        43.209239
6.869377        43.379411
6.898377        43.558399
6.926377        43.735611
6.955377        43.913773
6.983377        44.080891
7.012377        44.252730
7.041377        44.434473
7.069377        44.610439
7.098377        44.777987
7.127377        44.936022
7.155377        45.080432
7.184377        45.222199
7.212377        45.351965
7.241377        45.478260
7.270377        45.597203
7.298377        45.709763
7.327377        45.828837
7.356377        45.952522
7.384377        46.077948
7.413377        46.214408
7.441377        46.351034
7.470377        46.492496
7.499377        46.622111
7.527377        46.730961
7.556377        46.831606
7.585377        46.925087
7.613377        47.011145
7.642377        47.096188
7.671377        47.177489
7.699377        47.252697
7.728377        47.327459
7.756377        47.396661
7.785377        47.465072
7.814377        47.530018
7.842377        47.589182
7.871377        47.646384
7.900377        47.698744
7.928377        47.743824
7.957377        47.785352
7.985377        47.821248
8.014377        47.853887
8.043377        47.881726
8.071377        47.902351
8.100377        47.915960
8.129377        47.923637
8.157377        47.928058
8.186377        47.931419
8.215377        47.934326
8.243377        47.936885
8.272377        47.939306
8.300377        47.941432
8.329377        47.943427
8.358377        47.945224
8.386377        47.946778
8.415377        47.948210
8.444377        47.949475
8.472377        47.950546
8.501377        47.951509
8.529377        47.952307
8.558377        47.953009
8.587377        47.953595
8.615377        47.954060
8.644377        47.954448
8.673377        47.954751
8.701377        47.954972
8.730377        47.955138
8.758377        47.955247
8.787377        47.955317
8.816377        47.955354
8.844377        47.955369
8.873377        47.955372
8.902377        47.955372
8.930377        47.955372
8.959377        47.955372
8.988377        47.955372
9.016377        47.955372
9.045377        47.955372
9.073377        47.955372
9.102377        47.955372
9.131377        47.955372
9.159377        47.955372
9.188377        47.955372
9.217377        47.955372
9.245377        47.955372
9.274377        47.955372
9.302377        47.955372
9.331377        47.955372
9.360377        47.955372
9.388377        47.955372
9.417377        47.955372
9.446377        47.955372
9.474377        47.955372
9.503377        47.955372
9.532377        47.955372
9.560377        47.955372
9.589377        47.955372
9.617377        47.955372
9.646377        47.955372
9.675377        47.955372
9.703377        47.955372
9.732377        47.955372
9.761377        47.955372
9.789377        47.955372
9.818377        47.955372
9.846377        47.955372
