  #Energy        TDOS
4.693377        4.111000
4.722377        4.116000
4.750377        4.068000
4.779377        4.059000
4.807377        4.031000
4.836377        3.951000
4.865377        3.849000
4.893377        3.827000
4.922377        3.831000
4.951377        3.863000
4.979377        3.911000
5.008377        3.964000
5.037377        4.055000
5.065377        4.179000
5.094377        4.377000
5.122377        3.574000
5.151377        3.569000
5.180377        3.526000
5.208377        3.447000
5.237377        3.399000
5.266377        3.456000
5.294377        3.602000
5.323377        3.614000
5.351377        3.294000
5.380377        3.426000
5.409377        2.991000
5.437377        2.863000
5.466377        2.783000
5.495377        2.722000
5.523377        2.675000
5.552377        2.619000
5.581377        2.520000
5.609377        2.361000
5.638377        2.280000
5.666377        2.232000
5.695377        2.160000
5.724377        2.094000
5.752377        2.036000
5.781377        1.987000
5.810377        1.946000
5.838377        1.912000
5.867377        1.904000
5.895377        1.891000
5.924377        1.817000
5.953377        1.839000
5.981377        1.860000
6.010377        1.878000
6.039377        1.748000
6.067377        1.722000
6.096377        1.460000
6.124377        1.293000
6.153377        1.225000
6.182377        1.226000
6.210377        1.234000
6.239377        1.260000
6.268377        1.381000
6.296377        1.506000
6.325377        1.632000
6.354377        1.760000
6.382377        1.889000
6.411377        2.019000
6.439377        2.154000
6.468377        2.297000
6.497377        2.448000
6.525377        2.625000
6.554377        4.260000
6.583377        4.778000
6.611377        5.053000
6.640377        5.187000
6.668377        5.126000
6.697377        5.117000
6.726377        5.183000
6.754377        5.324000
6.783377        5.473000
6.812377        5.621000
6.840377        5.768000
6.869377        5.968000
6.898377        6.376000
6.926377        6.282000
6.955377        6.005000
6.983377        5.932000
7.012377        5.919000
7.041377        6.615000
7.069377        5.954000
7.098377        5.601000
7.127377        5.298000
7.155377        5.017000
7.184377        4.760000
7.212377        4.509000
7.241377        4.201000
7.270377        4.002000
7.298377        4.038000
7.327377        4.174000
7.356377        4.356000
7.384377        4.603000
7.413377        4.808000
7.441377        4.951000
7.470377        4.805000
7.499377        4.134000
7.527377        3.641000
7.556377        3.300000
7.585377        3.147000
7.613377        3.000000
7.642377        2.865000
7.671377        2.742000
7.699377        2.630000
7.728377        2.526000
7.756377        2.417000
7.785377        2.301000
7.814377        2.178000
7.842377        2.048000
7.871377        1.897000
7.900377        1.714000
7.928377        1.506000
7.957377        1.358000
7.985377        1.206000
8.014377        1.045000
8.043377        0.874900
8.071377        0.598300
8.100377        0.340300
8.129377        0.189100
8.157377        0.126700
8.186377        0.105100
8.215377        0.095410
8.243377        0.087340
8.272377        0.079630
8.300377        0.072270
8.329377        0.065280
8.358377        0.058640
8.386377        0.052350
8.415377        0.046420
8.444377        0.040850
8.472377        0.035630
8.501377        0.030770
8.529377        0.026270
8.558377        0.022120
8.587377        0.018330
8.615377        0.014890
8.644377        0.011810
8.673377        0.009090
8.701377        0.006723
8.730377        0.004712
8.758377        0.003058
8.787377        0.001760
8.816377        0.000819
8.844377        0.000233
8.873377        0.000004
8.902377        0.000000
8.930377        0.000000
8.959377        0.000000
8.988377        0.000000
9.016377        0.000000
9.045377        0.000000
9.073377        0.000000
9.102377        0.000000
9.131377        0.000000
9.159377        0.000000
9.188377        0.000000
9.217377        0.000000
9.245377        0.000000
9.274377        0.000000
9.302377        0.000000
9.331377        0.000000
9.360377        0.000000
9.388377        0.000000
9.417377        0.000000
9.446377        0.000000
9.474377        0.000000
9.503377        0.000000
9.532377        0.000000
9.560377        0.000000
9.589377        0.000000
9.617377        0.000000
9.646377        0.000000
9.675377        0.000000
9.703377        0.000000
9.732377        0.000000
9.761377        0.000000
9.789377        0.000000
9.818377        0.000000
9.846377        0.000000
9.875377        0.000000
9.904377        0.000000
9.932377        0.000000
9.961377        0.000000
9.990377        0.000000
10.018377        0.000000
10.047377        0.000000
10.075377        0.000000
10.104377        0.000000
10.133377        0.000000
10.161377        0.000000
10.190377        0.000000
10.219377        0.000000
10.247377        0.000000
10.276377        0.000000
10.305377        0.000000
10.333377        0.000000
10.362377        0.000000
10.390377        0.000000
10.419377        0.000000
10.448377        0.000000
10.476377        0.000000
10.505377        0.000000
10.534377        0.000000
10.562377        0.000000
10.591377        0.000000
10.619377        0.000000
10.648377        0.000000
10.677377        0.000000
10.705377        0.000000
10.734377        0.000000
10.763377        0.000000
10.791377        0.000000
10.820377        0.000000
10.848377        0.000000
10.877377        0.000000
